"Report_ID","Date","Status","Location","Incident_Category","Incident_Type","Description","Report","Report_Time","Length"
1702170,"7/16/17","CLOSED","Location Not Given","SERVICE","SERVICE                                   Suspicious Circumstances","A student reported that a suspect sent her an email message posing as one of her sorority sisters and attempted to trick her into"," 7/16/17 - 3:58 pm                    Location: LOCATION NOT GIVEN                                          Report #: 1702170
Occurred: 7/4/17    - 9:00 am    to 7/5/17    - 5:00 pm                                 Disposition: CLOSED
Incident: SERVICE                                   Suspicious Circumstances
Summary: A student reported that a suspect sent her an email message posing as one of her sorority sisters and attempted to trick her into
          wiring funds to the subject's account.
          cc: Student Affairs","7/16/17 - 3:58 pm","7/4/17    - 9:00 am    to 7/5/17    - 5:00 pm"
1702171,"7/17/17","CLOSED","Ronald Tutor Campus Center","FIRE","FIRE                                      Alarm Malfunction","A fire alarm was activated by a dirty smoke detector."," 7/17/17 - 5:10 am                    Location: RONALD TUTOR CAMPUS CENTER                                  Report #: 1702171
Occurred: 7/17/17 - 5:10 am      to 7/17/17 - 6:32 am                                   Disposition: CLOSED
Incident: FIRE                                      Alarm Malfunction
Summary: A fire alarm was activated by a dirty smoke detector.
          cc: Safety
","7/17/17 - 5:10 am","7/17/17 - 5:10 am      to 7/17/17 - 6:32 am"
1702172,"7/17/17","CLOSED","Grand Ave. Structure","FIRE","FIRE                                       Alarm Malfunction","A fire alarm was activated by a faulty pull station."," 7/17/17 - 6:41 am                     Location: GRAND AVE. STRUCTURE                                        Report #: 1702172
Occurred: 7/17/17 - 6:41 am      to 7/17/17 - 7:11 am                                      Disposition: CLOSED
Incident: FIRE                                       Alarm Malfunction
Summary: A fire alarm was activated by a faulty pull station.
          cc: Safety","7/17/17 - 6:41 am","7/17/17 - 6:41 am      to 7/17/17 - 7:11 am"
1702173,"7/17/17","Inactive Investigation","University Gateway Apartments","PROPERTY","PROPERTY                                   Damaged Property","A staff member reported that an entrance door intercom/camera unit was detached from it's wall mount outside the location."," 7/17/17 - 8:19 am                     Location: UNIVERSITY GATEWAY APARTMENTS                               Report #: 1702173
Occurred: 7/14/17 - 3:00 pm      to 7/17/17 - 8:00 am                                      Disposition: Inactive Investigation
Incident: PROPERTY                                   Damaged Property
Summary: A staff member reported that an entrance door intercom/camera unit was detached from it's wall mount outside the location.","7/17/17 - 8:19 am","7/14/17 - 3:00 pm      to 7/17/17 - 8:00 am"
1702174,"7/17/17","Inactive Investigation","Outside Usc Area","OBSCENE ACTIVITY","OBSCENE ACTIVITY                           Obscene, Annoying, Threatening Phone Calls","A faculty member reported receiving numerous annoying phone calls during the past four months from a suspect offering her"," 7/17/17 - 9:56 am                     Location: OUTSIDE USC AREA                                            Report #: 1702174
Occurred: 3/1/17    - 10:00 pm   to 7/16/17 - 10:00 pm                                     Disposition: Inactive Investigation
Incident: OBSCENE ACTIVITY                           Obscene, Annoying, Threatening Phone Calls
Summary: A faculty member reported receiving numerous annoying phone calls during the past four months from a suspect offering her
          prize money and a car.","7/17/17 - 9:56 am","3/1/17    - 10:00 pm   to 7/16/17 - 10:00 pm"
1702175,"7/17/17","CLOSED","Mccarthy Way Structure","SERVICE","SERVICE                                    Illness Response","A staff member was examined and released to seek medical treatment on her own after complaining of chest pain and difficulty"," 7/17/17 - 12:44 pm                    Location: MCCARTHY WAY STRUCTURE                                      Report #: 1702175
Occurred: 7/17/17 - 12:44 pm     to 7/17/17 - 2:10 pm                                      Disposition: CLOSED
Incident: SERVICE                                    Illness Response
Summary: A staff member was examined and released to seek medical treatment on her own after complaining of chest pain and difficulty
          breathing.","7/17/17 - 12:44 pm","7/17/17 - 12:44 pm     to 7/17/17 - 2:10 pm"
1702176,"7/17/17","Inactive Investigation","29Th St & Orchard Av","VEHICLE CODE","VEHICLE CODE                               Hit & Run - Misdemeanor","A staff member reported that his vehicle was struck by another vehicle while it was parked near the location and the driver of the"," 7/17/17 - 5:03 pm                     Location: 29TH ST & ORCHARD AV                                        Report #: 1702176
Occurred: 7/17/17 - 7:40 am      to 7/17/17 - 5:03 pm                                      Disposition: Inactive Investigation
Incident: VEHICLE CODE                               Hit & Run - Misdemeanor
Summary: A staff member reported that his vehicle was struck by another vehicle while it was parked near the location and the driver of the
          second vehicle left without reporting the incident or leaving any contact information at the scene.","7/17/17 - 5:03 pm","7/17/17 - 7:40 am      to 7/17/17 - 5:03 pm"
1702177,"7/17/17","Inactive Investigation","Mccarthy Way Structure","VEHICLE CODE","VEHICLE CODE                               Hit & Run - Misdemeanor","A staff member reported that his vehicle was struck by another vehicle while it was parked at the location and the driver of the"," 7/17/17 - 5:11 pm                     Location: MCCARTHY WAY STRUCTURE                                      Report #: 1702177
Occurred: 7/16/17 - 11:45 pm     to 7/17/17 - 5:54 pm                                      Disposition: Inactive Investigation
Incident: VEHICLE CODE                               Hit & Run - Misdemeanor
Summary: A staff member reported that his vehicle was struck by another vehicle while it was parked at the location and the driver of the
          second vehicle left without reporting the incident or leaving any contact information at the scene.","7/17/17 - 5:11 pm","7/16/17 - 11:45 pm     to 7/17/17 - 5:54 pm"
1702178,"7/17/17","CLOSED","Valley Warehouse Building","PROPERTY","PROPERTY                                   Lost/Missing Property","A staff member reported her vehicle's rear license plate missing."," 7/17/17 - 5:46 pm                     Location: VALLEY WAREHOUSE BUILDING                                   Report #: 1702178
Occurred: 7/17/17 - 7:40 am      to 7/17/17 - 5:40 pm                                      Disposition: CLOSED
Incident: PROPERTY                                   Lost/Missing Property
Summary: A staff member reported her vehicle's rear license plate missing.
","7/17/17 - 5:46 pm","7/17/17 - 7:40 am      to 7/17/17 - 5:40 pm"
1702179,"7/17/17","CLOSED","Keck Hospital Of Usc","DISTURBANCE","DISTURBANCE                             Disturbing The Peace","Officers detained a non-USC male who was causing a disturbance outside the location and determined that he had no legitimate"," 7/17/17 - 10:29 pm                  Location: KECK HOSPITAL OF USC                                           Report #: 1702179
Occurred: 7/17/17 - 10:29 pm    to 7/17/17 - 11:27 pm                                     Disposition: CLOSED
Incident: DISTURBANCE                             Disturbing The Peace
Summary: Officers detained a non-USC male who was causing a disturbance outside the location and determined that he had no legitimate
          business on the premises. The male was advised against trespassing on University property and released without further
          incident.","7/17/17 - 10:29 pm","7/17/17 - 10:29 pm    to 7/17/17 - 11:27 pm"
NA,"7/18/17","CLOSED","Kenneth Norris Jr. Cancer Hospital","SERVICE","SERVICE                                 Injury Response","A non-USC female was examined and released at the scene after falling and hitting her head."," 7/18/17 - 11:39 am                  Location: KENNETH NORRIS JR. CANCER HOSPITAL                             Report #: 1702180
                                                           RESEARCH INSTIT
Occurred: 7/18/17 - 11:39 am    to 7/18/17 - 12:37 pm                                     Disposition: CLOSED
Incident: SERVICE                                 Injury Response
Summary: A non-USC female was examined and released at the scene after falling and hitting her head.
          cc: Risk Management","7/18/17 - 11:39 am","7/18/17 - 11:39 am    to 7/18/17 - 12:37 pm"
1702181,"7/18/17","Inactive Investigation","30Th St & Hoover St","TRAFFIC","TRAFFIC                                 Traffic Collision Without Injuries","A staff member drove a University electric cart into a wall, causing unspecified damage."," 7/18/17 - 11:57 am                  Location: 30TH ST & HOOVER ST                                            Report #: 1702181
Occurred: 7/18/17 - 11:57 am    to 7/18/17 - 12:46 pm                                     Disposition: Inactive Investigation
Incident: TRAFFIC                                 Traffic Collision Without Injuries
Summary: A staff member drove a University electric cart into a wall, causing unspecified damage.
          cc: Risk Management","7/18/17 - 11:57 am","7/18/17 - 11:57 am    to 7/18/17 - 12:46 pm"
1702182,"7/18/17","Inactive Investigation","Century Apartments","THEFT PETTY","THEFT-PETTY                             Theft Petty-Plain","A suspect removed a fanny pack that was hanging from the handle bars of a bicycle."," 7/18/17 - 5:02 pm                   Location: CENTURY APARTMENTS                                             Report #: 1702182
Occurred: 7/17/17 - 6:30 pm     to 7/18/17 - 9:50 am                                      Disposition: Inactive Investigation
Incident: THEFT-PETTY                             Theft Petty-Plain
Summary: A suspect removed a fanny pack that was hanging from the handle bars of a bicycle.","7/18/17 - 5:02 pm","7/17/17 - 6:30 pm     to 7/18/17 - 9:50 am"
1702183,"7/18/17","Inactive Investigation","Figueroa Street Structure","BURGLARY MOTOR VEHICLE","BURGLARY-MOTOR VEHICLE                  Burglary-Motor Vehicle","A suspect forced open the rear driver's side window to gain entry and ransacked the interior. It could not be determined if any"," 7/18/17 - 6:49 pm                   Location: FIGUEROA STREET STRUCTURE                                      Report #: 1702183
Occurred: 7/18/17 - 8:45 am     to 7/18/17 - 5:45 pm                                      Disposition: Inactive Investigation
Incident: BURGLARY-MOTOR VEHICLE                  Burglary-Motor Vehicle
Summary: A suspect forced open the rear driver's side window to gain entry and ransacked the interior. It could not be determined if any
          property was removed at the time of the report.","7/18/17 - 6:49 pm","7/18/17 - 8:45 am     to 7/18/17 - 5:45 pm"
1702184,"7/19/17","CLOSED","Allan Hancock Foundation","FIRE","FIRE                                    Alarm Accidental","A fire alarm was activated by dust from construction."," 7/19/17 - 9:20 am                   Location: ALLAN HANCOCK FOUNDATION                                       Report #: 1702184
Occurred: 7/19/17 - 9:19 am     to 7/19/17 - 10:00 am                                     Disposition: CLOSED
Incident: FIRE                                    Alarm Accidental
Summary: A fire alarm was activated by dust from construction.
          cc: Safety","7/19/17 - 9:20 am","7/19/17 - 9:19 am     to 7/19/17 - 10:00 am"
1702185,"7/19/17","CLOSED","General William Lyon University Center","NA",NA,NA," 7/19/17 - 9:05 am                   Location: GENERAL WILLIAM LYON UNIVERSITY CENTER                         Report #: 1702185
Occurred: 7/17/17 - 12:00 pm    to 7/17/17 - 12:00 pm                                     Disposition: CLOSED
Incident: TRAFFIC                                 Traffic Collision Without Injuries
","7/19/17 - 9:05 am","7/17/17 - 12:00 pm    to 7/17/17 - 12:00 pm"
1702186,"7/19/17","Inactive Investigation","2647 Orchard Av","THEFT GRAND","THEFT-GRAND                              Theft Grand-Plain","A suspect removed a laptop computer, a pair of headphones and a backpack."," 7/19/17 - 9:28 am                     Location: 2647 ORCHARD AV                                            Report #: 1702186
Occurred: 7/19/17 - 12:00 am     to 7/19/17 - 8:30 am                                     Disposition: Inactive Investigation
Incident: THEFT-GRAND                              Theft Grand-Plain
Summary: A suspect removed a laptop computer, a pair of headphones and a backpack.","7/19/17 - 9:28 am","7/19/17 - 12:00 am     to 7/19/17 - 8:30 am"
NA,"7/19/17","Inactive Investigation","May Ormerod Harris Hall Quinn Wing &","THEFT PETTY","THEFT-PETTY                              Theft Bicycle","A suspect removed a bicycle."," 7/19/17 - 4:07 pm                     Location: MAY ORMEROD HARRIS HALL QUINN WING &                       Report #: 1702187
                                                           FISHER GALLER
Occurred: 7/19/17 - 10:30 am     to 7/19/17 - 3:15 pm                                     Disposition: Inactive Investigation
Incident: THEFT-PETTY                              Theft Bicycle
Summary: A suspect removed a bicycle.","7/19/17 - 4:07 pm","7/19/17 - 10:30 am     to 7/19/17 - 3:15 pm"
NA,"7/19/17","CLOSED","Grace Ford Salvatori Hall Of Letters","TRAFFIC","TRAFFIC                                  Traffic Collision Without Injuries","A student drove his vehicle into a non-USC male's vehicle, causing minor damage."," 7/19/17 - 4:25 pm                     Location: GRACE FORD SALVATORI HALL OF LETTERS                       Report #: 1702188
                                                           ARTS & SCIENC
Occurred: 7/19/17 - 4:20 pm      to 7/19/17 - 4:54 pm                                     Disposition: CLOSED
Incident: TRAFFIC                                  Traffic Collision Without Injuries
Summary: A student drove his vehicle into a non-USC male's vehicle, causing minor damage.","7/19/17 - 4:25 pm","7/19/17 - 4:20 pm      to 7/19/17 - 4:54 pm"
1702189,"7/19/17","CLOSED","Seeley G. Mudd Building","PROPERTY","PROPERTY                                 Recovered/Impounded Bicycle","Nine bicycles were removed from the location and impounded at the DPS office."," 7/19/17 - 6:49 pm                     Location: SEELEY G. MUDD BUILDING                                    Report #: 1702189
Occurred: 7/19/17 - 1:00 pm      to 7/19/17 - 6:51 pm                                     Disposition: CLOSED
Incident: PROPERTY                                 Recovered/Impounded Bicycle
Summary: Nine bicycles were removed from the location and impounded at the DPS office.","7/19/17 - 6:49 pm","7/19/17 - 1:00 pm      to 7/19/17 - 6:51 pm"
1702190,"7/19/17","CLOSED","Pertusati University Bookstore","THEFT PETTY","THEFT-PETTY                              Theft Petty-Plain","Two juveniles were detained for removing merchandise from the location without paying for it and they were subsequently"," 7/19/17 - 4:31 pm                     Location: PERTUSATI UNIVERSITY BOOKSTORE                             Report #: 1702190
Occurred: 7/19/17 - 4:31 pm      to 7/19/17 - 7:00 pm                                     Disposition: CLOSED
Incident: THEFT-PETTY                              Theft Petty-Plain
Summary: Two juveniles were detained for removing merchandise from the location without paying for it and they were subsequently
          released to their guardians.","7/19/17 - 4:31 pm","7/19/17 - 4:31 pm      to 7/19/17 - 7:00 pm"
1702191,"7/20/17","CLOSED","Currie Hall","DISTURBANCE","DISTURBANCE                              Disturbing The Peace","Four students were involved in a verbal dispute in their apartment at the location."," 7/20/17 - 12:29 am                    Location: CURRIE HALL                                                Report #: 1702191
Occurred: 7/20/17 - 12:29 am     to 7/20/17 - 1:40 am                                     Disposition: CLOSED
Incident: DISTURBANCE                              Disturbing The Peace
Summary: Four students were involved in a verbal dispute in their apartment at the location.
          cc: Student Affairs, Judicial Affairs","7/20/17 - 12:29 am","7/20/17 - 12:29 am     to 7/20/17 - 1:40 am"
1702192,"7/20/17","Cleared by Exceptional Means","3018 Royal St","ALCOHOL","ALCOHOL                                  Drunk In Public","An intoxicated student was examined, then she was transported to her residence and released."," 7/20/17 - 1:07 am                     Location: 3018 ROYAL ST                                              Report #: 1702192
Occurred: 7/20/17 - 1:05 am      to 7/20/17 - 1:48 am                                     Disposition: Cleared by Exceptional Means
Incident: ALCOHOL                                  Drunk In Public
Summary: An intoxicated student was examined, then she was transported to her residence and released.
          cc: Student Affairs, Judicial Affairs
","7/20/17 - 1:07 am","7/20/17 - 1:05 am      to 7/20/17 - 1:48 am"
1702193,"7/20/17","Inactive Investigation","Stonier Hall","BURGLARY","BURGLARY                                Burglary-Commercial","A suspect removed an unknown number of cancelled personal checks."," 7/20/17 - 8:43 am                  Location: STONIER HALL                                                    Report #: 1702193
Occurred: 7/18/17 - 5:00 pm   to 7/20/17 - 8:30 am                                      Disposition: Inactive Investigation
Incident: BURGLARY                                Burglary-Commercial
Summary: A suspect removed an unknown number of cancelled personal checks.","7/20/17 - 8:43 am","7/18/17 - 5:00 pm   to 7/20/17 - 8:30 am"
1702194,"7/20/17","Inactive Investigation","Figueroa Street Structure","THEFT MOTOR VEHICLE","THEFT-MOTOR VEHICLE                     Theft from Motor Vehicle","A suspect removed a pair of sunglasses."," 7/20/17 - 1:09 pm                  Location: FIGUEROA STREET STRUCTURE                                       Report #: 1702194
Occurred: 7/20/17 - 1:00 am   to 7/20/17 - 12:00 pm                                     Disposition: Inactive Investigation
Incident: THEFT-MOTOR VEHICLE                     Theft from Motor Vehicle
Summary: A suspect removed a pair of sunglasses.","7/20/17 - 1:09 pm","7/20/17 - 1:00 am   to 7/20/17 - 12:00 pm"
1702195,"7/20/17","CLOSED","Mccarthy Way Structure","THEFT FRAUD","THEFT-FRAUD                             Embezzle Funds, Bad Checks, Forgery","A staff member reported that an unknown suspect used a counterfeit twenty dollar bill to pay for parking at the location."," 7/20/17 - 12:51 pm                 Location: MCCARTHY WAY STRUCTURE                                          Report #: 1702195
Occurred: 7/13/17 - 5:00 pm   to 7/20/17 - 9:00 pm                                      Disposition: CLOSED
Incident: THEFT-FRAUD                             Embezzle Funds, Bad Checks, Forgery
Summary: A staff member reported that an unknown suspect used a counterfeit twenty dollar bill to pay for parking at the location.","7/20/17 - 12:51 pm","7/13/17 - 5:00 pm   to 7/20/17 - 9:00 pm"
1702196,"7/20/17","Cleared Arrest","35Th St & Grand Av","BURGLARY MOTOR VEHICLE","BURGLARY-MOTOR VEHICLE                  Burglary-Motor Vehicle-Attempt","A suspect was arrested for attempting to gain entry to vehicles parked near the location by pulling on door handles."," 7/20/17 - 10:54 am                 Location: 35TH ST & GRAND AV                                              Report #: 1702196
Occurred: 7/20/17 - 10:54 am  to 7/20/17 - 11:47 am                                     Disposition: Cleared Arrest
Incident: BURGLARY-MOTOR VEHICLE                  Burglary-Motor Vehicle-Attempt
Summary: A suspect was arrested for attempting to gain entry to vehicles parked near the location by pulling on door handles.","7/20/17 - 10:54 am","7/20/17 - 10:54 am  to 7/20/17 - 11:47 am"
1702197,"7/20/17","Inactive Investigation","Figueroa Street Structure","BURGLARY MOTOR VEHICLE","BURGLARY-MOTOR VEHICLE                  Burglary-Motor Vehicle","A suspect removed a bag of clothing, a pair of sunglasses and two pairs of ear buds."," 7/20/17 - 1:56 pm                  Location: FIGUEROA STREET STRUCTURE                                       Report #: 1702197
Occurred: 7/19/17 - 5:00 pm   to 7/20/17 - 5:00 am                                      Disposition: Inactive Investigation
Incident: BURGLARY-MOTOR VEHICLE                  Burglary-Motor Vehicle
Summary: A suspect removed a bag of clothing, a pair of sunglasses and two pairs of ear buds.","7/20/17 - 1:56 pm","7/19/17 - 5:00 pm   to 7/20/17 - 5:00 am"
1702198,"7/19/17","Inactive Investigation","Usc Eye Institute","THEFT PETTY","THEFT-PETTY                             Theft Petty-Plain","A suspect removed a pair of glasses."," 7/19/17 - 3:51 pm                  Location: USC EYE INSTITUTE                                               Report #: 1702198
Occurred: 7/19/17 - 3:30 pm   to 7/19/17 - 4:16 pm                                      Disposition: Inactive Investigation
Incident: THEFT-PETTY                             Theft Petty-Plain
Summary: A suspect removed a pair of glasses.","7/19/17 - 3:51 pm","7/19/17 - 3:30 pm   to 7/19/17 - 4:16 pm"
NA,"7/20/17","Inactive Investigation","Eileen & Kenneth T. Norris Dental","THEFT GRAND","THEFT-GRAND                             Theft Grand-Plain","A suspect removed a dental tool."," 7/20/17 - 2:56 pm                  Location: EILEEN & KENNETH T. NORRIS DENTAL                               Report #: 1702199
                                                          SCIENCE CENTER
Occurred: 7/17/17 - 9:00 pm   to 7/19/17 - 10:00 pm                                     Disposition: Inactive Investigation
Incident: THEFT-GRAND                             Theft Grand-Plain
Summary: A suspect removed a dental tool.","7/20/17 - 2:56 pm","7/17/17 - 9:00 pm   to 7/19/17 - 10:00 pm"
1702200,"7/20/17","CLOSED","35Th St & Catalina St","NA",NA,NA," 7/20/17 - 3:52 pm                  Location: 35TH ST & CATALINA ST                                           Report #: 1702200
Occurred: 1/1/17  - 8:00 am   to 7/20/17 - 10:10 am                                     Disposition: CLOSED
Incident: SERVICE                                 Suspicious Circumstances
","7/20/17 - 3:52 pm","1/1/17  - 8:00 am   to 7/20/17 - 10:10 am"
1702201,"7/21/17","CLOSED","Keck Hospital Of Usc","ALARM RESPONSE","ALARM RESPONSE                             Environmental Alarm","A radiation alarm was activated by the contents of a trash bag."," 7/21/17 - 12:23 am                     Location: KECK HOSPITAL OF USC                                       Report #: 1702201
Occurred: 7/21/17 - 12:23 am     to 7/21/17 - 12:47 am                                   Disposition: CLOSED
Incident: ALARM RESPONSE                             Environmental Alarm
Summary: A radiation alarm was activated by the contents of a trash bag.
          cc: Safety","7/21/17 - 12:23 am","7/21/17 - 12:23 am     to 7/21/17 - 12:47 am"
1702202,"7/21/17","CLOSED","Troy Hall","ALARM RESPONSE","ALARM RESPONSE                             Carbon Monoxide Alarm","A carbon monoxide detector was activated by unknown cause."," 7/21/17 - 1:21 am                      Location: TROY HALL                                                  Report #: 1702202
Occurred: 7/21/17 - 1:21 am      to 7/21/17 - 2:01 am                                    Disposition: CLOSED
Incident: ALARM RESPONSE                             Carbon Monoxide Alarm
Summary: A carbon monoxide detector was activated by unknown cause.
          cc: Student Affairs, Safety, Housing","7/21/17 - 1:21 am","7/21/17 - 1:21 am      to 7/21/17 - 2:01 am"
1702203,"7/21/17","Inactive Investigation","Ralphs Supermarket","THEFT PETTY","THEFT-PETTY                                Theft Bicycle","A suspect removed a bicycle."," 7/21/17 - 10:32 am                     Location: RALPHS SUPERMARKET                                         Report #: 1702203
Occurred: 7/21/17 - 10:32 am     to 7/21/17 - 10:36 am                                   Disposition: Inactive Investigation
Incident: THEFT-PETTY                                Theft Bicycle
Summary: A suspect removed a bicycle.","7/21/17 - 10:32 am","7/21/17 - 10:32 am     to 7/21/17 - 10:36 am"
1702204,"7/21/17","CLOSED","Mccarthy Way Structure","PROPERTY","PROPERTY                                   Damaged Property","A staff member reported that contractors painting a handrail splattered paint on the hood and front bumper of her vehicle while it"," 7/21/17 - 11:14 am                     Location: MCCARTHY WAY STRUCTURE                                     Report #: 1702204
Occurred: 7/19/17 - 8:00 am      to 7/19/17 - 5:00 pm                                    Disposition: CLOSED
Incident: PROPERTY                                   Damaged Property
Summary: A staff member reported that contractors painting a handrail splattered paint on the hood and front bumper of her vehicle while it
          was parked at the location.
          cc: Risk Management","7/21/17 - 11:14 am","7/19/17 - 8:00 am      to 7/19/17 - 5:00 pm"
1702205,"7/21/17","CLOSED","Currie Hall","SERVICE","SERVICE                                    Suspicious Circumstances","A non-USC male who resides at the location was taken into custody for a rape investigation."," 7/21/17 - 12:56 pm                     Location: CURRIE HALL                                                Report #: 1702205
Occurred: 7/21/17 - 12:56 pm     to 7/21/17 - 2:19 pm                                    Disposition: CLOSED
Incident: SERVICE                                    Suspicious Circumstances
Summary: A non-USC male who resides at the location was taken into custody for a rape investigation.
          cc: Student Affairs, Judicial Affairs, HR","7/21/17 - 12:56 pm","7/21/17 - 12:56 pm     to 7/21/17 - 2:19 pm"
1702206,"7/21/17","CLOSED","Grand Ave. Structure","TRAFFIC","TRAFFIC                                    Traffic Collision Without Injuries","A staff member drove a University vehicle into a pole, causing minor damage."," 7/21/17 - 3:32 pm                      Location: GRAND AVE. STRUCTURE                                       Report #: 1702206
Occurred: 7/21/17 - 3:32 pm      to 7/21/17 - 3:35 pm                                    Disposition: CLOSED
Incident: TRAFFIC                                    Traffic Collision Without Injuries
Summary: A staff member drove a University vehicle into a pole, causing minor damage.
          cc: Risk Management
","7/21/17 - 3:32 pm","7/21/17 - 3:32 pm      to 7/21/17 - 3:35 pm"
1702207,"7/21/17","Inactive Investigation","Location Not Given","SERVICE","SERVICE                                  Suspicious Circumstances","A student reported that another student posted a statement on a social media site that caused her to believe the subject may"," 7/21/17 - 3:08 pm                     Location: LOCATION NOT GIVEN                                            Report #: 1702207
Occurred: 7/21/17 - 3:08 pm      to 7/21/17 - 3:41 pm                                     Disposition: Inactive Investigation
Incident: SERVICE                                  Suspicious Circumstances
Summary: A student reported that another student posted a statement on a social media site that caused her to believe the subject may
          attempt to harm herself. The second student was subsequently determined to be unharmed and with her mother.
          cc: Student Affairs","7/21/17 - 3:08 pm","7/21/17 - 3:08 pm      to 7/21/17 - 3:41 pm"
1702208,"7/21/17","CLOSED","Pertusati University Bookstore","THEFT PETTY","THEFT-PETTY                              Shoplifting","A juvenile was detained for removing merchandise from the location without paying for it and he was subsequently released to a"," 7/21/17 - 4:19 pm                     Location: PERTUSATI UNIVERSITY BOOKSTORE                                Report #: 1702208
Occurred: 7/21/17 - 4:06 pm      to 7/21/17 - 4:06 pm                                     Disposition: CLOSED
Incident: THEFT-PETTY                              Shoplifting
Summary: A juvenile was detained for removing merchandise from the location without paying for it and he was subsequently released to a
          guardian.","7/21/17 - 4:19 pm","7/21/17 - 4:06 pm      to 7/21/17 - 4:06 pm"
1702209,"7/21/17","Void","Avalon Apartments","BURGLARY","BURGLARY                                 Burglary-Residential","A suspect removed three laptop computers, a tablet computer, a guitar and miscellaneous clothing."," 7/21/17 - 8:39 pm                     Location: AVALON APARTMENTS                                             Report #: 1702209
Occurred: 7/21/17 - 6:00 pm      to 7/21/17 - 6:30 pm                                     Disposition: Void
Incident: BURGLARY                                 Burglary-Residential
Summary: A suspect removed three laptop computers, a tablet computer, a guitar and miscellaneous clothing.","7/21/17 - 8:39 pm","7/21/17 - 6:00 pm      to 7/21/17 - 6:30 pm"
1702210,"7/21/17","Inactive Investigation","San Pablo St & Alcazar St","SERVICE","SERVICE                                  Missing/Found Persons","A staff member reported that he observed a suspect force an unidentified female into a vehicle at the location and drive away."," 7/21/17 - 8:11 pm                     Location: SAN PABLO ST & ALCAZAR ST                                     Report #: 1702210
Occurred: 7/21/17 - 8:11 pm      to 7/21/17 - 9:51 pm                                     Disposition: Inactive Investigation
Incident: SERVICE                                  Missing/Found Persons
Summary: A staff member reported that he observed a suspect force an unidentified female into a vehicle at the location and drive away.
          Officers responded and conducted a search, but were unable to locate the suspect or the female.","7/21/17 - 8:11 pm","7/21/17 - 8:11 pm      to 7/21/17 - 9:51 pm"
1702211,"7/22/17","CLOSED","Grand Ave. Structure","PROPERTY","PROPERTY                                 Damaged Property","A staff member discovered unreported damage to the rear passenger side door during a routine inspection of a University"," 7/22/17 - 1:08 am                     Location: GRAND AVE. STRUCTURE                                          Report #: 1702211
Occurred: 7/22/17 - 1:08 am      to 7/22/17 - 1:47 am                                     Disposition: CLOSED
Incident: PROPERTY                                 Damaged Property
Summary: A staff member discovered unreported damage to the rear passenger side door during a routine inspection of a University
          vehicle.
          cc: Risk Management, Transportation Services","7/22/17 - 1:08 am","7/22/17 - 1:08 am      to 7/22/17 - 1:47 am"
1702212,"7/22/17","Cleared by Exceptional Means","Sigma Nu","DISTURBANCE","DISTURBANCE                              Disturbing The Peace","A student reported that unidentified subjects threw bottles at his residence from the courtyard at the location."," 7/22/17 - 2:57 am                     Location: SIGMA NU                                                      Report #: 1702212
Occurred: 7/22/17 - 2:55 am      to 7/22/17 - 2:57 am                                     Disposition: Cleared by Exceptional Means
Incident: DISTURBANCE                              Disturbing The Peace
Summary: A student reported that unidentified subjects threw bottles at his residence from the courtyard at the location.
          cc: Student Affairs, Judicial Affairs","7/22/17 - 2:57 am","7/22/17 - 2:55 am      to 7/22/17 - 2:57 am"
1702213,"7/22/17","Inactive Investigation","Adams Bl & Figueroa St","NA",NA,NA," 7/22/17 - 5:47 am                     Location: ADAMS BL & FIGUEROA ST                                        Report #: 1702213
Occurred: 7/21/17 - 6:00 pm      to 7/21/17 - 6:00 pm                                     Disposition: Inactive Investigation
Incident: THEFT-GRAND PERSON                       Grand Theft Person
","7/22/17 - 5:47 am","7/21/17 - 6:00 pm      to 7/21/17 - 6:00 pm"
NA,"7/22/17","CLOSED","George Finley Bovard Administration","PROPERTY","PROPERTY                                 Damaged Property","A staff member reported that a University building key became stuck in a lock as he was attempting to open a door at the"," 7/22/17 - 9:06 am                    Location: GEORGE FINLEY BOVARD ADMINISTRATION                           Report #: 1702214
                                                          BUILDING
Occurred: 7/22/17 - 8:00 am      to 7/22/17 - 9:00 am                                    Disposition: CLOSED
Incident: PROPERTY                                 Damaged Property
Summary: A staff member reported that a University building key became stuck in a lock as he was attempting to open a door at the
          location.","7/22/17 - 9:06 am","7/22/17 - 8:00 am      to 7/22/17 - 9:00 am"
1702215,"7/22/17","CLOSED","Alpha Gamma Omega","EH S","EH&S                                     Water Leak","Officers responding to an alarm activation at the location observed water leaking into the kitchen, possibly due to repair work"," 7/22/17 - 10:44 am                   Location: ALPHA GAMMA OMEGA                                             Report #: 1702215
Occurred: 7/22/17 - 10:44 am     to 7/22/17 - 11:30 am                                   Disposition: CLOSED
Incident: EH&S                                     Water Leak
Summary: Officers responding to an alarm activation at the location observed water leaking into the kitchen, possibly due to repair work
          being done on the second floor showers. FMS personnel were requested and responded to clean up and conduct repairs.
          cc: Student Affairs, Safety, Housing","7/22/17 - 10:44 am","7/22/17 - 10:44 am     to 7/22/17 - 11:30 am"
